t err good
40300 0.18611 0.964844
40400 0.185241 0.960938
40500 0.184506 0.964844
40600 0.183669 0.964844
40700 0.183033 0.964844
40800 0.182436 0.960938
40900 0.18178 0.964844
41000 0.181099 0.960938
41100 0.180616 0.960938
41200 0.179796 0.964844
41300 0.179218 0.964844
41400 0.178462 0.960938
41500 0.17789 0.960938
41600 0.177349 0.964844
41700 0.176662 0.96875
41800 0.175951 0.96875
41900 0.175319 0.972656
42000 0.174651 0.972656
42100 0.173824 0.96875
42200 0.173312 0.96875
42300 0.172563 0.96875
42400 0.171829 0.96875
42500 0.171143 0.96875
42600 0.17058 0.972656
42700 0.170082 0.96875
42800 0.169404 0.96875
42900 0.168733 0.96875
43000 0.167947 0.972656
43100 0.1673 0.964844
43200 0.166546 0.964844
43300 0.165944 0.964844
43400 0.165118 0.96875
43500 0.164532 0.972656
43600 0.163814 0.972656
43700 0.163328 0.972656
43800 0.162676 0.96875
43900 0.16219 0.972656
44000 0.161646 0.972656
44100 0.161129 0.972656
44200 0.160281 0.972656
44300 0.159612 0.972656
44400 0.158968 0.972656
44500 0.158526 0.96875
44600 0.157824 0.96875
44700 0.157221 0.96875
44800 0.156535 0.96875
44900 0.155741 0.972656
45000 0.155175 0.96875
45100 0.154615 0.972656
45200 0.154016 0.972656
45300 0.153307 0.972656
45400 0.152496 0.972656
45500 0.151963 0.972656
45600 0.151271 0.972656
45700 0.150756 0.972656
45800 0.150141 0.972656
45900 0.149176 0.972656
46000 0.148664 0.972656
46100 0.14791 0.972656
46200 0.147181 0.972656
46300 0.146632 0.972656
46400 0.146015 0.972656
46500 0.145494 0.972656
46600 0.14496 0.972656
46700 0.14425 0.972656
46800 0.143768 0.972656
46900 0.143229 0.972656
47000 0.142549 0.972656
47100 0.142163 0.972656
47200 0.141354 0.972656
47300 0.140714 0.972656
47400 0.139967 0.972656
47500 0.139509 0.972656
47600 0.138926 0.972656
47700 0.138481 0.972656
47800 0.137852 0.972656
47900 0.137176 0.972656
48000 0.136687 0.972656
48100 0.135888 0.972656
48200 0.135138 0.972656
48300 0.134492 0.972656
48400 0.133939 0.972656
48500 0.133315 0.972656
48600 0.132788 0.972656
48700 0.132328 0.972656
48800 0.131796 0.972656
48900 0.131345 0.972656
49000 0.130649 0.972656
49100 0.130083 0.972656
49200 0.129512 0.972656
49300 0.128963 0.972656
49400 0.128303 0.972656
49500 0.127699 0.972656
49600 0.127336 0.972656
49700 0.126667 0.972656
49800 0.126022 0.972656
49900 0.125508 0.972656
50000 0.125025 0.972656
50100 0.124548 0.972656
50200 0.124228 0.972656
50300 0.123778 0.972656
50400 0.123279 0.972656
50500 0.122783 0.972656
50600 0.122285 0.972656
50700 0.121835 0.972656
50800 0.121243 0.972656
50900 0.120782 0.972656
51000 0.120259 0.972656
51100 0.119812 0.972656
51200 0.119412 0.972656
51300 0.118905 0.972656
51400 0.118318 0.972656
51500 0.117964 0.972656
51600 0.117513 0.972656
51700 0.117212 0.972656
51800 0.116644 0.972656
51900 0.116181 0.972656
52000 0.115849 0.972656
52100 0.115483 0.972656
52200 0.115072 0.972656
52300 0.114528 0.972656
52400 0.114013 0.972656
52500 0.113501 0.972656
52600 0.112962 0.972656
52700 0.112531 0.972656
52800 0.112121 0.972656
52900 0.111787 0.972656
53000 0.111266 0.972656
53100 0.110868 0.972656
53200 0.110514 0.972656
53300 0.110047 0.972656
53400 0.109436 0.972656
53500 0.109106 0.972656
53600 0.108569 0.972656
53700 0.108239 0.972656
53800 0.107718 0.972656
53900 0.10727 0.980469
54000 0.106744 0.980469
54100 0.106232 0.980469
54200 0.105713 0.980469
54300 0.105122 0.980469
