n t
14591 326154
18226 491167
3049 13731
1101 1838
7271 77627
4313 27879
17038 431933
10650 167824
1930 5555
4491 30195
12679 237657
9755 139110
16517 404566
18419 503726
4442 29890
9665 137631
15932 377570
17652 463464
19918 625366
13690 303775
137 31
17533 450401
8801 114361
11080 182715
1053 1674
11996 214751
18899 537908
14486 319256
472 321
19237 557986
342 183
1420 3229
11156 184868
13576 271881
16545 405484
12475 231790
5287 42318
9958 146698
7810 90872
10307 158457
14761 321475
16774 418488
523 441
984 1426
3683 19790
14550 320451
9297 129146
17469 462166
8893 117805
18012 479142
91 25
2839 11803
3445 19262
18251 490112
920 1248
13261 268773
12013 214467
15194 346455
2646 10260
14752 320422
5944 52596
19640 580830
16437 398030
180 62
19594 581136
9560 135217
1627 3925
7292 79364
5371 43472
19345 553977
13389 264788
1533 3609
9902 147436
16416 401525
6460 62287
11237 186750
15712 365481
15756 370265
12100 219602
1812 4850
14631 317757
11169 183363
18091 489960
1717 4940
14997 352355
6258 57017
14199 298605
16249 401129
5010 37787
5210 40089
8159 99432
2558 9633
18824 519632
7217 77151
16537 400240
10437 160066
480 373
6562 64217
14614 315899
15081 339605
13797 281274
4474 29339
2106 6415
9250 127816
11171 183630
7714 87813
1541 3631
17258 437953
8878 115390
2419 8688
15958 374263
10345 157585
16865 422720
1272 2402
17376 453819
7344 86374
16984 426194
17034 430211
5150 38687
86 23
10764 172205
2574 9592
14097 295772
8602 110833
16370 394315
18673 516130
8304 102005
3556 18529
15020 333538
2997 13221
2884 12080
19055 539129
17621 455379
17648 459176
8699 112964
9077 123859
19999 586137
12221 220616
17333 442478
2540 9289
8012 94873
730 770
18225 494148
16625 414474
3254 15767
10956 179321
12278 225898
6205 57153
1374 2867
2026 6033
461 320
16580 406629
11960 215141
3764 21184
19313 569440
14798 323548
11116 183749
17896 473109
13671 274239
9993 148683
4845 34712
6998 72635
14308 304731
7351 80110
1499 3329
7663 86114
16054 380532
8653 111392
11649 200204
6186 56461
11342 187819
7876 92456
2282 7857
4775 33365
2616 10092
7819 92534
18654 515738
6128 55513
15360 345550
4146 27165
6826 68660
7108 74545
15303 348465
19373 555758
16356 393579
12304 223490
3638 19292
6790 70045
19012 542446
8930 128417
1073 1983
3996 25334
13337 280565
9985 149027
9667 145548
1377 2924
16687 409123
17771 474837
10606 167898
9022 118968
5751 49145
5577 45424
19745 577993
19801 582454
15372 348347
15962 376005
4069 24542
19385 558975
4694 33003
19956 597600
8087 98783
11480 194863
2229 7356
1601 3665
2681 10290
2011 6006
16135 385602
8705 113255
12408 226767
19231 549596
12713 242836
6152 57348
13416 272161
1909 5415
16310 392967
4167 27299
6713 66464
1165 1965
14933 328678
4581 31722
8992 122901
16518 406709
585 527
6848 70279
4482 29815
7603 84872
16359 400205
4912 35732
15776 367224
5428 43102
2753 12818
3750 20649
12238 221225
324 163
1257 2312
11315 190286
2568 9619
3761 20972
3725 20394
9604 137877
10852 173542
15077 353195
487 363
12810 246253
6856 69326
10037 149545
13419 269639
19468 592618
537 439
4461 31351
9958 147135
17118 441132
12263 226172
15474 359740
12915 249294
7973 96454
3094 14140
16241 413903
3976 23116
2551 9609
12630 239974
9445 131017
637 620
11753 206452
2222 7137
7146 75494
644 652
10392 160494
12345 226666
7562 85739
14402 305133
16403 405719
12931 246048
13617 272769
13734 300234
16421 398965
4891 34773
1464 3098
5876 51616
17980 480906
10299 155047
7841 90652
5929 51978
8834 118912
17795 465217
1992 5942
9970 145844
18109 485587
4747 33696
17613 461956
8192 98916
12468 230630
18604 519026
4320 29217
18985 564580
4261 26848
2535 9461
13869 286700
10168 153534
14984 330418
401 262
18453 509952
2328 7937
6407 62424
1118 1854
15363 352076
18834 524320
2053 6360
344 181
10754 172466
12391 227181
1306 2501
2213 7286
4325 28250
4395 29012
16408 396213
2665 10402
17729 479758
6582 64093
17427 452549
10717 169379
14399 305695
8727 113814
16666 411562
11307 189367
8392 105934
12873 249680
15375 354672
1338 2691
18806 528354
11677 204426
1643 3984
4146 25630
10334 159676
9537 134321
9534 134448
16864 422571
17819 467275
151 35
12850 243252
3156 14717
16618 406821
958 1333
10211 154324
1314 2569
17531 456948
9431 132998
1819 4891
5390 43325
4995 37051
19507 572017
518 421
7078 75498
5766 50112
7835 91106
19836 588080
959 1375
9542 134776
16496 406228
11104 187335
4231 26579
8449 106848
9999 149397
8595 109173
4473 30178
2268 9972
17366 450320
14216 299788
17036 430852
11529 200417
5866 51730
9512 134069
7777 89090
15637 359574
16270 400462
19886 592054
3355 16676
6497 62656
16683 410729
19447 556219
18102 483121
9454 133613
4700 32490
11067 183636
16996 433138
18508 512277
4717 33394
18438 502800
4239 26231
357 199
817 1011
12464 227722
17007 430082
2814 11648
5322 41471
1652 3960
8868 118142
1290 2484
13874 283538
1783 4627
14338 305126
12129 216923
8291 101856
10915 177155
12277 221769
12986 249506
17726 459135
512 392
17987 476458
8558 109754
5632 46703
6223 56648
12640 238378
4115 25005
19864 582102
15736 361407
7226 76434
7187 77459
16989 425799
7265 79275
11404 192504
2479 8926
13474 263450
1943 6955
9062 120177
10344 162908
15091 337346
14193 298553
5117 38547
8558 110166
5938 52540
7074 73829
5719 48875
16370 398194
7339 80692
3938 23110
2085 6194
18900 530706
8754 114703
1714 4244
16072 383218
6988 71888
289 130
2439 8713
5142 39737
10505 163084
8261 100780
19057 534113
14022 288511
2937 14116
3651 19633
7810 91071
12093 215608
11580 199365
10443 161466
15863 371479
11383 191234
12007 211837
11022 181473
4723 32750
6893 70377
653 662
6683 65371
12692 237047
4222 25833
7134 76017
18694 518473
14953 340748
14388 303950
14385 305545
7815 90316
18595 507304
16884 419165
8913 118025
19095 538956
5861 60536
19884 585644
8761 115892
10046 147819
12411 225641
10679 171028
4967 36003
2324 8230
19998 584639
14182 326999
421 273
19539 568077
6362 59559
7240 78233
18157 491632
15905 376655
14156 297121
11187 182788
15084 334641
16332 393965
9435 132057
19728 572993
10562 164426
10896 174469
15194 344800
6947 71296
17284 439776
3637 19206
10141 152076
4467 29568
15692 369449
38 13
8077 97405
3903 22603
2187 7239
16047 380603
18011 481761
11783 202302
474 360
6398 63529
15976 374088
4554 30550
233 97
11656 204780
8764 112490
3032 13338
17856 477731
9648 137421
18948 529789
9222 126324
11087 181510
6898 69595
17496 455638
16013 381124
19493 563310
18877 528360
10114 149628
16005 377537
12131 217458
17646 460606
3689 20544
14645 317565
972 1394
2666 10352
13498 269346
1813 4897
3374 16834
17588 458121
1929 5557
16341 391595
11846 207493
13355 265165
19582 566992
288 134
11791 222162
3549 23430
17988 485733
16844 417178
15786 367985
2171 6973
1499 3291
201 64
14984 333517
16774 415601
12587 236558
1021 1519
7919 95651
16867 418842
10297 159207
1687 4152
17563 456422
2661 10461
15768 374420
4223 27179
8278 102889
12506 233857
1041 1628
13663 288696
5424 43684
13324 264254
5916 53031
10678 172154
11444 194030
19170 566759
12932 249954
8068 99723
10554 164742
10122 152696
896 1179
1362 2701
17308 449075
6041 55092
15479 351299
1473 3148
5370 44594
19261 547103
5604 47059
5961 53122
16870 421186
14809 320248
829 1053
19539 564645
9820 145127
2719 10768
18617 520571
19525 563907
9085 123356
17762 472169
16859 419188
11746 202783
12261 226921
6943 71080
8704 111184
12208 221506
7229 77114
11112 187157
1386 2839
5006 37030
13432 267782
18325 502954
18929 540674
19717 585641
14121 301872
14484 311505
17062 435916
12062 215701
5928 53199
16820 419515
16314 399842
5776 53794
10157 155352
1494 3281
287 127
16121 394248
7653 89805
18120 489697
4421 29376
10214 153087
14575 316773
7851 91779
7517 84484
19176 558506
19111 553744
8352 102519
19537 570513
12535 231356
14916 325970
11692 204233
5244 40499
11305 196117
5287 41692
14464 311218
19185 548329
14284 301745
14078 295739
5243 40824
13055 250307
6984 72372
10655 168354
19771 577189
18913 532263
12904 246790
13086 253092
16504 412233
10429 158439
7198 77222
8340 103972
4428 28966
15001 335953
14879 325052
8819 114795
14629 315699
3907 22687
3318 16123
16183 385738
16076 382941
17717 462564
17985 485211
956 1349
13074 252639
4044 24288
18165 491507
5860 51109
12426 230967
3606 19548
16896 430522
5240 41024
7592 85261
15636 362068
12773 242902
10865 177216
13319 298183
14979 335624
8226 117064
10 0
6668 84642
1553 3503
2967 12886
5741 48223
19666 572966
16220 393103
