n memo dp
171800 1011 238
172000 938 238
172200 969 238
172400 994 238
172600 978 239
172800 934 240
173000 971 240
173200 949 239
173400 972 240
173600 999 240
173800 864 241
174000 1001 241
174200 1005 242
174400 1002 243
174600 962 242
174800 957 242
175000 1005 243
175200 984 243
175400 1028 243
175600 1012 244
175800 995 244
176000 1004 245
176200 1028 245
176400 978 244
176600 1003 245
176800 1001 245
177000 1008 246
177200 975 246
177400 999 246
177600 980 246
177800 922 249
178000 1039 249
178200 1021 247
178400 1102 249
178600 1052 248
178800 1015 248
179000 1033 248
179200 1002 249
179400 1022 249
179600 988 249
179800 989 249
180000 943 249
180200 950 250
180400 1034 250
180600 961 251
180800 996 252
181000 983 251
181200 1031 251
181400 1039 251
181600 1059 251
181800 1044 253
182000 1019 253
182200 1040 253
182400 1007 253
182600 1011 254
182800 1004 253
183000 1043 254
183200 999 254
183400 1025 254
183600 1064 255
183800 1057 255
184000 1046 257
184200 1081 256
184400 1046 256
184600 1021 256
184800 1043 256
185000 1060 257
185200 996 257
185400 1017 257
185600 1055 258
185800 1065 258
186000 1020 258
186200 1048 259
186400 1037 260
186600 1041 259
186800 1056 259
187000 1106 259
187200 1068 259
187400 977 260
187600 1015 260
187800 1076 261
188000 942 261
188200 1107 261
188400 1043 262
188600 1064 261
188800 1077 262
189000 999 262
189200 1083 263
189400 1091 263
189600 1113 263
189800 1062 263
190000 1051 263
190200 1121 264
190400 1097 265
190600 1076 265
190800 1092 265
191000 1075 265
191200 1094 265
191400 1116 266
191600 1077 266
191800 1116 266
192000 1053 266
192200 1105 267
192400 1082 267
192600 1090 268
192800 1081 268
193000 1059 268
193200 1085 268
193400 1123 268
193600 1073 269
193800 1038 269
194000 1128 269
194200 1122 270
194400 1118 270
194600 1091 270
194800 1159 271
195000 1103 271
195200 1056 271
195400 1111 272
195600 1153 274
195800 1074 272
196000 1117 272
196200 1086 273
196400 1114 273
196600 1101 273
196800 1104 273
197000 1167 273
197200 1109 274
197400 857 274
197600 1114 274
197800 1155 275
198000 1168 277
198200 1113 277
198400 1128 276
198600 1131 276
198800 946 276
199000 1127 277
199200 1167 277
199400 1225 280
199600 1019 277
199800 1093 277
200000 1124 278
200200 1129 278
200400 1112 278
200600 1185 278
200800 1095 284
201000 992 281
201200 1111 282
201400 1173 280
201600 1180 280
201800 1128 280
202000 1127 284
202200 1166 281
202400 1011 281
202600 1158 281
202800 1150 281
203000 1150 283
203200 1141 282
203400 1156 283
203600 1066 283
203800 1125 283
204000 1174 284
204200 1124 283
204400 1164 285
204600 1184 284
204800 1124 284
205000 1137 285
205200 1187 285
205400 1203 285
205600 1169 286
205800 1179 287
206000 1167 286
206200 1170 286
206400 1162 287
206600 1157 289
206800 1191 287
207000 1205 287
207200 1117 288
207400 1185 288
207600 1251 295
207800 1136 291
208000 1183 289
208200 1171 289
208400 1224 290
208600 1230 290
208800 1228 294
209000 1125 292
209200 1147 290
209400 1203 292
209600 1252 291
209800 1214 291
210000 1230 293
210200 1206 292
210400 1154 293
210600 1204 292
210800 1170 293
211000 1166 294
211200 1268 295
211400 1293 297
211600 1263 297
211800 1145 297
212000 1150 296
212200 1265 295
212400 1250 295
212600 1227 295
212800 1172 295
213000 1210 296
213200 1244 300
213400 1200 298
213600 1222 299
213800 1225 297
214000 1217 297
214200 1243 298
214400 1270 298
214600 1211 298
214800 1258 298
215000 1272 298
215200 1266 299
215400 1241 299
215600 1274 300
215800 1161 300
216000 1197 300
216200 1271 301
216400 1265 301
216600 1173 301
216800 1203 301
217000 1243 301
217200 1259 303
217400 1270 302
217600 1167 304
217800 1249 304
218000 1208 303
218200 1255 304
218400 1277 304
218600 1234 305
218800 1249 305
219000 1275 305
219200 1275 307
219400 1218 305
219600 1257 305
219800 1258 305
220000 1246 305
220200 1263 306
220400 1307 306
220600 1087 307
220800 1285 307
221000 1318 307
221200 1268 307
221400 1308 308
221600 1300 308
221800 1206 309
222000 1288 309
222200 1277 309
222400 1228 310
222600 1279 310
222800 1322 309
223000 1232 311
223200 1035 311
223400 1261 311
223600 1237 312
223800 1227 313
224000 1248 312
224200 1350 311
224400 1218 312
224600 1296 313
224800 1212 313
225000 1268 314
225200 1235 314
225400 1322 314
225600 1288 314
225800 1419 319
226000 1330 316
226200 1270 316
226400 1347 315
226600 1276 316
226800 1230 319
227000 1231 318
227200 1314 316
227400 1253 318
227600 1225 318
227800 1357 316
228000 1278 318
228200 1305 318
228400 1336 317
228600 1356 320
228800 1299 320
229000 1331 319
229200 1254 320
229400 1290 319
229600 1334 320
229800 1330 320
230000 1342 321
230200 1206 321
230400 1265 321
230600 1234 322
230800 1347 322
231000 1318 322
231200 1212 322
231400 1323 323
231600 1339 322
231800 1361 323
232000 1331 323
232200 1338 324
232400 1346 324
232600 1257 325
232800 1331 324
233000 1373 324
233200 1315 325
233400 1266 326
233600 1271 326
233800 1363 326
234000 1372 326
234200 1276 327
234400 1280 326
234600 1318 328
234800 1335 327
235000 1351 327
235200 1382 327
235400 1349 328
235600 1409 329
235800 1155 328
236000 1396 330
236200 1352 329
236400 1352 329
236600 1309 330
236800 1338 330
237000 1382 331
237200 1333 330
237400 1345 332
237600 1380 331
237800 1262 331
238000 1390 332
238200 1423 332
238400 1366 333
238600 1403 331
238800 1322 334
239000 1352 333
239200 1066 334
239400 1394 335
239600 1391 335
239800 1390 334
240000 1357 335
240200 1349 335
240400 1377 336
240600 1288 336
240800 1452 336
241000 1425 335
241200 1425 336
241400 1404 337
241600 1354 337
241800 1405 339
242000 1399 337
242200 1400 337
242400 1229 338
242600 1415 339
242800 1421 339
243000 1277 339
243200 1443 340
243400 1414 339
243600 1408 340
243800 1384 340
244000 1406 341
244200 1363 340
244400 1444 340
244600 1360 341
244800 1351 341
245000 1367 342
245200 1382 344
245400 1435 342
245600 1462 342
245800 1384 344
246000 1430 343
246200 1446 345
246400 1431 344
246600 1325 345
246800 1442 345
247000 1465 345
247200 1306 347
247400 1408 347
247600 1328 347
247800 1424 345
248000 1363 347
248200 1434 347
248400 1432 346
248600 1427 348
248800 1363 347
249000 1457 350
249200 1400 347
249400 1415 348
249600 1504 349
249800 1224 348
250000 1477 349
250200 1465 349
250400 1448 349
250600 1507 350
250800 1487 351
251000 1422 350
251200 1485 350
251400 1394 351
251600 1450 351
251800 1464 352
252000 1275 352
252200 1500 354
252400 1412 353
252600 1447 353
252800 1426 353
253000 1460 353
253200 1463 354
253400 1506 354
253600 1496 354
253800 1391 354
254000 1433 355
254200 1344 355
254400 1438 355
254600 1433 356
254800 1486 356
255000 1455 356
255200 1500 356
255400 1315 357
255600 1380 357
255800 1453 357
256000 1484 361
256200 1415 358
256400 1420 358
256600 1410 359
256800 1479 359
257000 1449 359
257200 1439 359
257400 1424 361
257600 1437 360
257800 1456 360
258000 1490 360
258200 1451 361
258400 1239 361
258600 1439 361
258800 1535 362
259000 1412 363
259200 1471 362
259400 1482 362
259600 1524 363
259800 1473 364
260000 1479 363
260200 1545 363
260400 1444 364
260600 1520 364
260800 1425 364
261000 1526 365
261200 1555 366
261400 1454 365
261600 1482 365
261800 1489 368
262000 1481 367
262200 1470 366
262400 1503 368
262600 1467 367
262800 1435 368
263000 1381 369
263200 1501 367
263400 1316 368
263600 1498 368
263800 1530 370
264000 1464 369
264200 1530 370
264400 1485 371
264600 1501 369
264800 1592 370
265000 1605 370
265200 1562 370
265400 1503 371
265600 1537 372
265800 1426 371
266000 1254 372
266200 1487 372
266400 1443 372
266600 1454 372
266800 1536 373
267000 1542 373
267200 1470 375
267400 1569 373
267600 1600 374
267800 1608 373
268000 1560 375
268200 1523 375
268400 1544 375
268600 1488 375
268800 1494 375
269000 1546 376
269200 1549 377
269400 1525 376
269600 1415 377
269800 1398 379
270000 1405 380
270200 1494 377
270400 1436 378
270600 1370 379
270800 1637 379
271000 1538 378
271200 1600 379
271400 1586 379
271600 1604 379
271800 1469 379
272000 1553 381
272200 1584 382
272400 1566 381
272600 1511 381
272800 1570 381
273000 1475 381
273200 1420 382
273400 1612 382
273600 1662 382
273800 1606 382
274000 1661 382
274200 1607 383
274400 1485 383
274600 1522 384
274800 1560 383
275000 1595 386
275200 1592 384
275400 1606 384
275600 1425 385
275800 1590 385
276000 1554 386
276200 1494 386
276400 1614 386
276600 1641 386
276800 1612 386
277000 1532 388
277200 1591 388
277400 1547 388
277600 1632 388
277800 1633 388
278000 1668 388
278200 1665 390
278400 1622 389
278600 1565 389
278800 1612 389
279000 1615 390
279200 1604 390
279400 1378 390
279600 1638 391
279800 1502 392
280000 1293 392
280200 1646 392
280400 1547 392
280600 1551 392
280800 1600 392
281000 1678 393
281200 1531 393
281400 1601 393
281600 1559 393
281800 1657 394
282000 1675 394
282200 1645 394
282400 1552 394
282600 1626 396
282800 1639 395
283000 1566 395
283200 1552 396
283400 1377 396
283600 1678 396
283800 1601 397
284000 1657 397
284200 1585 398
284400 1663 397
284600 1668 397
284800 1721 399
285000 1662 399
285200 1636 401
285400 1582 399
285600 1687 400
285800 1713 401
286000 1503 399
286200 1457 400
286400 1507 401
286600 1619 400
286800 1713 402
287000 1711 401
287200 1665 401
287400 1694 402
287600 1643 403
287800 1565 402
288000 1596 402
288200 1630 403
288400 1608 403
288600 1651 404
288800 1655 404
289000 1536 407
289200 1627 404
289400 1497 405
289600 1707 404
289800 1698 404
290000 1674 406
290200 1697 406
290400 1355 409
290600 1742 407
290800 1694 406
291000 1370 406
291200 1741 407
291400 1663 407
291600 1370 407
291800 1482 409
292000 1726 409
292200 1656 408
292400 1718 409
292600 1708 409
292800 1575 409
293000 1754 409
293200 1703 413
293400 1757 409
293600 1698 411
293800 1705 410
294000 1673 411
294200 1715 411
294400 1494 411
294600 1757 411
294800 1645 412
295000 1688 414
295200 1769 412
295400 1517 413
295600 1610 413
295800 1660 413
296000 1704 414
296200 1580 415
296400 1740 414
296600 1564 415
296800 1768 417
297000 1827 417
297200 1681 417
297400 1678 418
297600 1588 417
297800 1720 417
298000 1718 417
298200 1762 417
298400 1741 418
298600 1421 419
298800 1677 418
299000 1715 419
299200 1730 418
299400 1690 419
299600 1680 420
299800 1421 420
300000 1695 421
300200 1763 422
300400 1769 421
300600 1779 420
300800 1605 420
301000 1745 421
301200 1728 421
301400 1733 422
301600 1653 422
301800 1726 424
302000 1674 422
302200 1687 423
302400 1620 423
302600 1777 423
302800 1565 424
303000 1760 424
303200 1796 425
303400 1623 425
303600 1743 426
303800 1702 425
304000 1827 425
304200 1658 425
304400 1720 426
304600 1689 428
304800 1733 426
305000 1777 426
305200 1844 427
305400 1683 428
305600 1741 428
305800 1832 428
306000 1564 428
306200 1746 428
306400 1747 429
306600 1838 428
306800 1775 430
307000 1575 429
307200 1715 431
307400 1809 430
307600 1776 434
307800 1850 430
308000 1751 432
308200 1549 431
308400 1480 432
308600 1826 433
308800 1753 431
309000 1804 433
309200 1603 433
309400 1855 433
309600 1583 433
309800 1838 434
310000 1813 433
310200 1566 434
310400 1802 435
310600 1745 434
310800 1760 437
311000 1813 436
311200 1803 435
311400 1796 436
311600 1721 436
311800 1802 436
312000 1780 436
312200 1775 437
312400 1789 436
312600 1704 439
312800 1670 438
313000 1597 439
313200 1812 439
313400 1719 440
313600 1811 439
313800 1889 441
314000 1736 440
314200 1570 440
314400 1835 441
314600 1883 440
314800 1748 440
315000 1799 441
315200 1759 441
315400 1520 442
315600 1872 443
315800 1877 441
316000 1849 442
316200 1916 443
316400 1848 442
316600 1776 443
316800 1907 443
317000 1845 444
317200 1608 444
317400 1884 444
317600 1837 445
317800 1784 445
318000 2617 453
318200 2513 454
318400 1849 449
318600 1957 450
318800 1916 445
319000 1907 447
319200 1810 451
319400 1861 450
319600 1977 453
319800 1881 448
320000 1875 449
320200 1964 453
320400 1920 450
320600 1818 449
320800 1863 449
321000 1860 449
321200 1850 455
321400 2144 457
321600 1863 454
321800 1900 453
322000 1774 453
322200 1826 453
322400 1835 451
322600 1891 452
322800 1842 452
323000 1863 452
323200 1839 453
323400 1691 453
323600 1923 457
323800 1878 452
324000 1893 453
324200 1823 454
324400 1969 458
324600 1935 456
324800 2027 459
325000 2012 458
325200 1994 459
325400 1950 458
325600 1900 457
325800 1949 459
326000 1896 456
326200 1886 457
326400 1900 457
326600 1876 459
326800 1952 461
327000 1873 459
327200 1967 458
327400 1866 458
327600 1873 459
327800 1929 461
328000 1918 460
328200 1953 460
328400 1745 460
328600 2000 460
328800 1988 460
329000 1949 461
329200 1993 460
329400 1944 460
329600 1923 461
329800 1985 461
330000 1977 463
330200 1898 462
330400 1952 465
330600 1980 463
330800 1759 463
331000 1914 464
331200 1956 465
331400 1865 464
331600 1895 466
331800 1931 465
332000 1900 465
332200 1964 465
332400 2030 465
332600 1941 466
332800 1951 465
333000 2002 466
333200 1937 467
333400 1905 467
333600 1940 468
333800 1979 467
334000 1976 468
334200 2046 472
334400 2004 470
334600 1933 468
334800 1968 468
335000 1967 470
335200 2010 468
335400 1982 469
335600 1964 470
335800 2006 469
336000 1890 470
336200 1876 471
336400 1953 472
336600 1944 472
336800 1923 472
337000 2002 474
337200 1847 472
337400 1788 473
337600 1905 473
337800 2095 473
338000 2029 473
338200 1996 472
338400 1919 474
338600 1985 474
338800 1961 475
339000 2022 475
339200 2093 477
339400 2021 475
339600 1811 474
339800 1942 477
340000 2192 479
340200 1994 475
340400 2006 477
340600 1916 478
340800 1767 477
341000 1980 478
341200 2094 478
341400 1996 479
341600 1964 477
341800 1843 479
342000 2004 480
342200 2063 479
342400 2023 479
342600 2005 480
342800 2064 479
343000 1994 481
343200 2089 480
343400 1822 480
343600 1952 481
343800 2010 481
344000 1934 482
344200 1946 482
344400 1934 483
344600 2041 482
344800 1935 482
345000 1875 483
345200 2077 485
345400 2002 483
345600 2044 483
345800 2079 484
346000 2040 483
346200 1954 485
346400 1891 489
346600 2073 485
346800 2089 487
347000 2085 486
347200 2025 486
347400 1738 487
347600 1877 488
347800 1969 487
348000 2090 487
348200 2091 486
348400 2047 489
348600 1999 488
348800 2090 488
