n t
3347 30
3654 31
13725 78
16373 90
4481 35
18609 100
5627 41
16308 90
3454 31
7362 49
914 16
5690 41
15183 84
3702 31
122 7
16737 92
19204 103
17978 97
16524 90
10685 64
13887 79
5800 41
224 8
11012 66
117 6
12800 74
14716 82
13889 78
15265 85
7805 51
8901 56
11277 67
3392 30
1560 21
11341 68
3301 30
3802 32
10069 61
7961 52
467 12
17394 95
19151 102
9696 60
13481 77
8593 55
5691 41
19751 117
9640 59
2077 24
9913 61
16971 93
662 14
514 12
19983 107
3101 29
16616 91
11116 71
215 8
12895 74
19153 103
2605 26
6582 46
509 13
15949 88
6413 45
8162 53
7047 48
3930 32
7797 51
2632 26
9057 57
12568 73
12177 71
19824 105
6495 45
8715 56
13829 79
2402 25
14805 83
5699 41
18243 99
15549 86
1175 19
7001 48
256 9
10051 61
8830 56
4029 33
15291 85
17647 95
1663 22
6113 43
11818 69
5289 39
16772 92
4428 35
1739 22
10865 65
11248 66
10552 63
13497 77
8593 55
17227 94
11490 67
2949 29
15936 88
19091 102
3611 32
14067 79
19357 104
6458 45
159 7
1973 23
15538 86
11528 68
19727 105
4380 35
1151 18
11896 70
487 12
4498 36
6274 44
3231 30
18112 98
12398 99
18156 98
2740 27
2657 26
14385 81
16504 90
7304 48
13282 76
12362 71
16266 90
14682 82
6109 43
4200 34
18261 98
12210 71
16496 91
18180 110
9445 58
18712 101
8555 54
6172 44
18148 98
51 6
2444 25
908 17
11575 68
7950 52
6595 46
15228 85
19519 104
16460 90
11652 68
15242 85
19157 103
7157 48
662 14
7910 52
14489 82
9947 61
9936 61
18218 98
11998 70
19168 103
13338 76
9077 57
17984 97
18867 101
18436 100
1710 22
11432 68
15784 87
9085 57
6648 46
5812 42
17186 94
10391 63
10418 63
18015 97
4174 34
1016 17
5923 42
781 15
4516 35
13973 79
7532 50
7942 52
17690 96
15639 86
6934 47
2479 26
5610 41
19086 103
8753 56
16102 88
1090 17
4766 36
3699 32
3789 33
19372 104
19632 105
424 12
17307 94
8579 55
6871 47
7146 48
19974 106
15375 85
11910 70
17817 96
15516 86
18878 101
15243 84
1648 21
389 11
8411 54
14501 82
6855 46
18627 100
3671 32
16732 92
14405 81
3342 30
18334 99
1385 20
13187 75
2288 24
1208 18
17115 93
16085 89
8692 55
12197 71
14947 84
16503 90
12729 73
5211 39
4393 35
11774 69
13722 78
9035 57
6022 42
9370 58
774 15
9098 59
6642 45
14868 83
7586 50
14789 83
7423 49
1725 22
648 15
1850 22
16802 92
1853 22
19456 104
4786 37
1051 18
9620 59
1607 20
11423 68
5987 43
17300 94
15164 90
12137 71
13273 76
1958 23
6204 44
13968 79
619 15
6906 47
17726 96
1735 22
1987 22
5698 41
9428 58
4842 37
3488 30
8639 55
2712 26
12163 71
11611 68
3999 33
4787 37
4087 33
127 7
16194 89
1095 18
2965 28
9278 58
14917 83
6239 43
5539 40
17116 93
3912 32
6661 46
16544 90
13787 78
18583 99
4023 33
5829 42
8994 57
12364 72
2428 25
16350 90
17747 96
14099 79
9720 60
14193 80
19759 106
19038 102
10602 63
2967 28
14027 79
9514 59
10125 61
12576 75
16765 91
8545 54
12083 71
3091 28
19617 105
4358 35
4898 37
12102 71
3224 29
12332 71
10235 62
15151 84
17991 97
396 11
1403 20
9707 60
2436 26
15339 85
5318 40
14717 83
8838 56
5545 41
19682 105
936 17
18205 99
5400 40
3431 30
1045 18
12783 74
9823 60
878 16
12487 72
15591 86
11708 69
547 13
14535 82
15954 88
3367 30
2853 27
4444 35
18959 102
17628 96
11616 68
5431 40
3517 31
1477 20
49 5
1538 20
16905 93
13175 76
6969 47
18197 99
7613 50
18621 100
4329 35
13416 76
6398 45
3154 29
5793 42
4710 36
14201 80
8957 57
14403 81
3108 28
14858 83
10316 62
12589 73
10562 64
10640 64
3448 31
11512 68
9594 59
17737 96
1919 22
2369 25
1721 21
8508 55
1438 19
9358 58
10035 61
19461 104
11091 66
19026 102
1987 23
64 6
12422 72
11720 69
3320 30
18476 106
18112 98
6753 46
19420 104
5304 39
964 17
3872 33
18350 99
16493 90
13615 77
16324 90
2108 24
2936 27
10175 62
19703 105
19293 103
18754 101
13012 74
756 15
13408 76
143 7
13464 77
13050 74
13109 75
4471 36
10851 65
2466 25
11719 69
18750 101
10903 65
6212 46
9026 57
19092 103
16040 89
11462 68
16236 90
9650 60
1496 20
4543 36
5655 41
18538 100
8467 54
7578 50
12230 71
2320 24
11343 67
13643 77
17507 95
5644 41
17586 95
5056 38
18186 98
15888 87
13140 75
3142 29
11001 66
3792 32
11363 68
2268 24
2598 26
3236 29
1118 18
4657 37
9581 59
1526 20
2772 27
1484 20
8905 57
281 10
4844 37
1507 20
3666 31
4441 35
2790 27
8852 56
9467 59
2726 27
4058 33
18440 99
6833 46
14686 82
10496 63
1770 22
1340 19
8926 56
15236 85
3516 31
4554 35
14636 82
16457 90
607 14
8796 56
13540 77
9376 58
15637 86
17739 96
9618 59
6755 46
10491 63
111 7
4207 33
19363 103
7110 48
2972 28
15433 85
3922 33
11425 67
19109 103
7151 48
16846 93
12525 72
9849 60
4213 34
5397 40
18665 101
18415 99
10740 64
10943 65
5775 41
14018 79
8424 60
13563 77
19642 105
9673 60
17151 93
5518 40
3108 28
7664 50
15140 85
16869 92
18737 101
8603 55
18533 100
7131 48
7358 49
10692 64
2626 26
7187 48
2416 25
10791 65
6669 46
3114 28
9700 60
19042 102
14980 83
1622 20
11447 68
5234 39
7106 48
13226 76
9198 57
17521 95
678 15
17861 97
9949 61
9128 57
11184 66
11349 67
11999 70
2616 26
14782 83
7973 52
11188 66
1324 19
11924 70
549 13
19699 105
8400 54
18160 121
4480 36
18229 99
13620 77
2946 28
13752 116
2253 31
1403 25
19645 180
11438 94
12831 97
12428 74
1525 21
5692 43
12558 73
3900 32
2286 24
13119 75
11507 68
16638 91
18587 100
308 10
5198 39
8118 53
9201 58
2569 26
13118 75
7135 48
2135 24
14635 82
3304 29
16038 104
16782 92
119 7
358 10
7908 52
10567 64
7404 49
17514 95
11126 66
8555 55
18850 101
13721 78
8758 55
1155 17
9298 58
16148 89
10666 80
12149 70
11755 69
8916 56
9692 59
2355 25
16264 89
12119 70
12973 74
4219 34
12128 71
9297 58
10600 64
9854 60
3420 30
12368 72
17202 107
4781 37
8533 55
4200 34
11768 69
11988 70
10441 63
14247 81
12862 74
9473 59
14204 80
14298 80
2662 27
2289 24
12148 71
12357 72
636 14
15073 84
10322 62
10362 62
4748 37
9559 59
5880 42
375 10
12845 74
17104 93
5922 42
13302 75
16113 89
16158 89
3467 30
10061 61
7525 50
15578 95
827 16
2457 26
7817 51
10511 64
9551 59
7282 49
13481 77
6511 45
9051 57
1596 20
19032 102
10040 61
16816 92
15878 88
2679 26
10643 64
14237 80
18124 98
4905 38
3138 28
6718 46
14113 80
11540 68
14847 83
19469 104
98 6
7375 49
15600 86
9904 60
2719 27
14562 82
7760 51
15792 90
17530 95
19604 105
5047 38
4626 36
10293 63
6066 43
6354 44
12584 73
6013 42
4722 36
16952 93
15461 85
10655 64
19074 102
14174 80
10122 62
10128 62
8932 56
11340 67
11628 68
7414 49
13359 76
5059 38
5894 42
7359 49
1859 22
861 16
17341 95
8588 55
11622 68
7524 50
14831 86
865 16
13118 75
1482 20
3586 31
19473 104
1866 22
13186 76
8063 52
1255 18
11101 66
267 9
585 13
943 17
16988 93
16824 92
6826 47
7621 50
19226 103
6263 44
2758 27
2025 23
14748 83
4811 37
7826 51
16317 90
5242 39
3678 31
1555 20
7580 51
4831 37
1773 22
4088 34
3468 31
16037 88
943 17
10368 63
10998 65
16928 93
17647 96
6737 46
544 13
3864 33
15512 86
1023 17
10809 65
11932 70
197 8
6319 44
14340 81
6759 46
19823 106
13285 76
4501 36
11911 70
5654 41
10202 62
1599 21
6875 47
16857 92
13700 78
7943 51
12642 73
19839 106
19402 104
12567 73
19905 106
16116 89
7484 49
11134 66
5302 39
279 9
17731 96
19359 104
14620 82
12431 72
1949 23
19235 103
9506 59
7690 51
6643 45
19498 105
7584 50
8453 55
4338 35
3996 33
16537 91
9067 57
18319 99
12228 71
7466 49
9126 57
9936 60
15555 87
10002 61
14345 80
14225 80
3093 29
5175 39
19840 106
3527 30
19655 105
11276 67
10285 63
1567 21
1203 18
15085 84
4367 35
19311 104
19272 103
8890 56
17308 95
19139 103
7295 49
18810 101
5710 41
12445 72
3750 31
15744 87
18827 101
18952 102
7434 49
3720 32
2407 25
19187 103
5439 40
17567 95
4265 34
18349 99
19188 103
13088 75
2243 24
15977 88
7380 49
11578 68
16463 90
5520 40
8028 53
18945 102
5722 41
12500 72
19267 104
16465 90
9785 60
4557 35
15455 105
17174 97
11298 69
16857 92
4135 34
16755 92
6555 45
703 15
15762 87
9794 60
6306 44
6114 43
16830 92
16170 89
2176 24
8297 54
19769 106
4078 34
4829 37
8462 54
8792 56
9771 60
2747 27
4730 37
17962 97
15631 87
14588 81
4622 36
16399 90
11214 66
13152 75
3318 29
11064 66
9443 59
13515 77
16104 89
10836 65
2368 25
544 13
18412 99
6154 44
10544 63
13886 79
14899 83
14498 81
14668 82
10735 78
2729 27
9950 60
5020 38
7778 51
19011 102
1808 22
14940 83
16927 92
5112 39
1480 20
15761 87
16866 92
11209 66
7821 51
10448 63
17423 125
7073 48
11434 68
7964 51
4980 38
7946 52
14879 83
8148 53
6101 43
16911 92
4852 37
18355 99
9579 59
7166 48
15054 84
19883 121
10414 63
5622 41
2955 28
4638 36
9697 60
11558 68
1397 20
6723 46
4407 35
66 6
15887 88
4698 37
14972 83
10038 61
277 9
19666 105
13222 76
19287 103
15527 86
3771 32
3337 30
10840 65
1552 21
12937 74
6751 47
1921 23
1017 17
8629 56
9104 67
18176 98
3053 29
17 5
11459 68
6287 44
13110 75
11879 69
9350 58
12535 72
16392 90
17121 93
3137 29
4108 34
7564 50
17025 93
7433 49
8085 52
8436 54
17443 95
19498 104
2224 24
7443 49
16356 90
4920 38
7628 73
18898 102
17910 97
1973 22
12383 72
19019 102
17361 94
8095 52
19359 104
9018 57
14567 82
5597 41
18927 102
8073 52
2119 23
18125 98
223 9
8815 56
13797 78
7993 52
19567 105
3594 31
11289 67
18923 102
14000 79
5907 42
11679 68
10730 64
12248 71
18678 101
9349 58
1171 18
19492 104
8221 53
16242 89
11652 68
1748 21
9474 59
14748 83
14496 81
9585 59
5869 42
7530 50
15159 85
7108 48
646 14
15316 85
5139 39
836 15
5964 43
4954 38
9589 60
19473 104
2633 27
3847 32
5972 42
10291 63
13661 78
12116 70
13320 76
10495 63
4227 34
406 11
344 9
11165 67
3660 32
13766 78
11968 70
16871 92
18304 99
3604 31
13487 77
37 5
8649 55
13859 79
3918 32
7705 51
6624 54
3037 28
6926 47
9008 57
15659 109
14024 79
4602 36
